material_id,formula,common_name,space_group,a_ang,b_ang,c_ang,alpha_deg,beta_deg,gamma_deg,volume_ang3,density_g_cm3,cif_file_path,capacity_reversible_mAh_g,voltage_discharge_avg_V,capacity_retention_100cyc_percent
41,Er2O3,EROO,Ia-3,10.74,10.74,10.74,90,90,90,1237.32,8.86,cif_files/EROO.cif,0.005,3.9,100
42,Tm2O3,TOO,Ia-3,10.72,10.72,10.72,90,90,90,1231.69,8.58,cif_files/TOO.cif,0.002,4,100
43,Yb2O3,YBOO,Ia-3,10.7,10.7,10.7,90,90,90,1226.06,9.07,cif_files/YBOO.cif,0.001,4.1,100
44,Lu2O3,LUO,Ia-3,10.68,10.68,10.68,90,90,90,1220.43,9.84,cif_files/LUO.cif,0.0005,4.2,100
45,Sc2O3,SCO,Ia-3,10.19,10.19,10.19,90,90,90,1057.32,3.86,cif_files/SCO.cif,0.0002,4.3,100
46,Y2O3,YOO,Ia-3,10.6,10.6,10.6,90,90,90,1190.43,5.03,cif_files/YOO.cif,0.0001,4.4,100
47,ZrO2,ZRO,Fm-3m,5.12,5.12,5.12,90,90,90,134.22,5.89,cif_files/ZRO.cif,0.00005,4.5,100
48,HfO2,HFO,Fm-3m,5.13,5.13,5.13,90,90,90,134.75,9.68,cif_files/HFO.cif,0.00002,4.6,100
49,V2O5,VOO,Pmmn,11.5,3.56,4.37,90,90,90,177.8,3.36,cif_files/VOO.cif,400,2,70
50,Nb2O5,NOO,Pbcm,6.24,11.62,3.91,90,90,90,283.54,4.47,cif_files/NOO.cif,350,2.1,71
51,Ta2O5,TAO,Pbcm,6.26,11.66,3.92,90,90,90,285.01,8.18,cif_files/TAO.cif,320,2.2,72
52,WO3,WO,Pbnm,7.3,7.54,7.69,90,90,90,422.88,7.9,cif_files/WO.cif,300,2.3,73
53,MoO3,MOO,Pbnm,3.95,13.64,3.65,90,103.7,90,194.21,4.69,cif_files/MOO.cif,280,2.4,74
54,ReO3,REO,Pm-3m,3.74,3.74,3.74,90,90,90,52.31,7,cif_files/REO.cif,260,2.5,75
55,Mn2O3,MOO,Ia-3,9.45,9.45,9.45,90,90,90,843.74,4.82,cif_files/MOO.cif,240,2.6,76
56,Fe3O4,IOO,Fd-3m,8.39,8.39,8.39,90,90,90,590.18,5.18,cif_files/IOO.cif,220,2.7,77
57,CoO,COO,Fm-3m,4.26,4.26,4.26,90,90,90,77.27,6.44,cif_files/COO.cif,200,2.8,78
58,NiO,NOO,Fm-3m,4.18,4.18,4.18,90,90,90,73.03,6.67,cif_files/NOO.cif,180,2.9,79
59,Cu2O,CUO,Pn-3m,4.27,4.27,4.27,90,90,90,77.79,6,cif_files/CUO.cif,160,3,80
60,Ag2O,AO,Pn-3m,4.81,4.81,4.81,90,90,90,111.16,7.14,cif_files/AO.cif,140,3.1,81
61,Au2O,AUO,Pn-3m,4.9,4.9,4.9,90,90,90,117.65,12.3,cif_files/AUO.cif,120,3.2,82
62,PtO2,PTO,P4_2/mnm,4.51,4.51,3.12,90,90,90,63.28,10.7,cif_files/PTO.cif,100,3.3,83
63,PdO,PD,Fm-3m,3.39,3.39,3.39,90,90,90,39,8.3,cif_files/PDO.cif,80,3.4,84
64,Rh2O3,RHO,C2/m,9.68,3.62,9.72,90,119.5,90,300.12,7.9,cif_files/RHO.cif,60,3.5,85
65,IrO2,IRO,P4_2/mnm,4.52,4.52,3.11,90,90,90,63.28,10,cif_files/IRO.cif,40,3.6,86
66,OsO2,OSO,P4_2/mnm,4.54,4.54,3.1,90,90,90,63.85,11.4,cif_files/OSO.cif,20,3.7,87
67,RuO2,RUO,P4_2/mnm,4.5,4.5,3.11,90,90,90,62.78,10.65,cif_files/RUO.cif,10,3.8,88
68,Ni(OH)2,NIH,P-3m,3.14,3.14,4.61,90,90,120,39.22,4.1,cif_files/NIH.cif,280,1.4,75
69,Co(OH)2,COH,P-3m,3.15,3.15,4.62,90,90,120,39.4,3.6,cif_files/COH.cif,270,1.5,76
70,Fe(OH)3,IOH,R-3c,5.54,5.54,13.1,90,90,120,347.82,3.9,cif_files/IOH.cif,260,1.6,77
71,Mn(OH)2,MOH,P-3m,3.16,3.16,4.63,90,90,120,39.58,3.27,cif_files/MOH.cif,250,1.7,78
72,Zn(OH)2,ZNOH,P-3m,3.17,3.17,4.64,90,90,120,39.76,3,cif_files/ZNOH.cif,240,1.8,79
73,Cd(OH)2,CDOH,P-3m,3.18,3.18,4.65,90,90,120,39.94,4.8,cif_files/CDOH.cif,230,1.9,80
74,Pb(OH)2,PBOH,P-3m,3.19,3.19,4.66,90,90,120,40.12,5.8,cif_files/PBOH.cif,220,2,81
75,Al(OH)3,AOH,R-3c,4.99,4.99,12.99,90,90,120,282.04,2.42,cif_files/AOH.cif,210,2.1,82
76,Ga(OH)3,GAOH,R-3c,5,5,13,90,90,120,283.04,3,cif_files/GAOH.cif,200,2.2,83
77,In(OH)3,INOH,R-3c,5.01,5.01,13.01,90,90,120,284.04,4,cif_files/INOH.cif,190,2.3,84
78,Tl(OH)3,TLOH,R-3c,5.02,5.02,13.02,90,90,120,285.04,7,cif_files/TLOH.cif,180,2.4,85
79,Bi(OH)3,BIOH,R-3c,5.03,5.03,13.03,90,90,120,286.04,6.3,cif_files/BIOH.cif,170,2.5,86
80,Sb(OH)3,SBOH,R-3c,5.04,5.04,13.04,90,90,120,287.04,5.8,cif_files/SBOH.cif,160,2.6,87
81,La(OH)3,LAOH,P6_3,6.33,6.33,3.72,90,90,120,129,4,cif_files/LAOH.cif,150,2.7,88
82,Ce(OH)3,CEOH,P6_3,6.34,6.34,3.73,90,90,120,129.4,4.1,cif_files/CEOH.cif,140,2.8,89
83,Pr(OH)3,PROH,P6_3,6.35,6.35,3.74,90,90,120,129.8,4.2,cif_files/PROH.cif,130,2.9,90
84,Nd(OH)3,NDOH,P6_3,6.36,6.36,3.75,90,90,120,130.2,4.3,cif_files/NDOH.cif,120,3,91
85,Sm(OH)3,SMOH,P6_3,6.37,6.37,3.76,90,90,120,130.6,4.4,cif_files/SMOH.cif,110,3.1,92
86,Eu(OH)3,EUOH,P6_3,6.38,6.38,3.77,90,90,120,131,4.5,cif_files/EUOH.cif,100,3.2,93
87,Gd(OH)3,GDOH,P6_3,6.39,6.39,3.78,90,90,120,131.4,4.6,cif_files/GDOH.cif,90,3.3,94
88,Tb(OH)3,TBOH,P6_3,6.4,6.4,3.79,90,90,120,131.8,4.7,cif_files/TBOH.cif,80,3.4,95
89,Dy(OH)3,DYOH,P6_3,6.41,6.41,3.8,90,90,120,132.2,4.8,cif_files/DYOH.cif,70,3.5,96
90,Ho(OH)3,HOH,P6_3,6.42,6.42,3.81,90,90,120,132.6,4.9,cif_files/HOH.cif,60,3.6,97
91,Er(OH)3,EROH,P6_3,6.43,6.43,3.82,90,90,120,133,5,cif_files/EROH.cif,50,3.7,98
92,Tm(OH)3,TMOH,P6_3,6.44,6.44,3.83,90,90,120,133.4,5.1,cif_files/TMOH.cif,40,3.8,99
93,Yb(OH)3,YBOH,P6_3,6.45,6.45,3.84,90,90,120,133.8,5.2,cif_files/YBOH.cif,30,3.9,99.5
94,Lu(OH)3,LUOH,P6_3,6.46,6.46,3.85,90,90,120,134.2,5.3,cif_files/LUOH.cif,20,4,99.8
95,Sc(OH)3,SCOH,P6_3,6.47,6.47,3.86,90,90,120,134.6,3.8,cif_files/SCOH.cif,10,4.1,99.9
96,Y(OH)3,YOOH,P6_3,6.48,6.48,3.87,90,90,120,135,4,cif_files/YOOH.cif,5,4.2,99.95
97,Zr(OH)4,ZROH,I4_1/amd,3.62,3.62,11.86,90,90,90,155.12,3.2,cif_files/ZROH.cif,2,4.3,99.98
98,Hf(OH)4,HFOH,I4_1/amd,3.63,3.63,11.87,90,90,90,155.52,5.5,cif_files/HFOH.cif,1,4.4,99.99
99,V(OH)3,VOH,R-3c,4.98,4.98,12.98,90,90,120,281.04,3.36,cif_files/VOH.cif,300,1.8,70
100,Nb(OH)3,NBOH,R-3c,4.99,4.99,12.99,90,90,120,282.04,4.35,cif_files/NBOH.cif,280,1.9,71
101,Ta(OH)3,TAOH,R-3c,5,5,13,90,90,120,283.04,8.2,cif_files/TAOH.cif,260,2,72
102,W(OH)6,WOH,P-1,9.2,9.2,9.2,60,60,60,658.8,4.17,cif_files/WOH.cif,240,2.1,73
103,Mo(OH)6,MOOH,P-1,9.22,9.22,9.22,60,60,60,662.4,4.7,cif_files/MOOH.cif,220,2.2,74
104,Re(OH)6,REOH,P-1,9.24,9.24,9.24,60,60,60,666,6.5,cif_files/REOH.cif,200,2.3,75
105,Mn(OH)2,MOHH,P-3m,3.16,3.16,4.63,90,90,120,39.58,3.27,cif_files/MOHH.cif,250,1.7,78
106,Fe(OH)2,IOHH,P-3m,3.2,3.2,4.7,90,90,120,41,3.4,cif_files/IOHH.cif,245,1.65,77.5
107,Co(OH)2,COHH,P-3m,3.15,3.15,4.62,90,90,120,39.4,3.6,cif_files/COHH.cif,270,1.5,76
108,Ni(OH)2,NIHH,P-3m,3.14,3.14,4.61,90,90,120,39.22,4.1,cif_files/NIHH.cif,280,1.4,75
109,Cu(OH)2,CUOH,P-1,9.12,3.2,10.74,90,107.5,90,287.42,3.37,cif_files/CUOH.cif,230,1.8,79
110,Zn(OH)2,ZNOHH,P-3m,3.17,3.17,4.64,90,90,120,39.76,3,cif_files/ZNOHH.cif,240,1.8,79
111,Cd(OH)2,CDOHH,P-3m,3.18,3.18,4.65,90,90,120,39.94,4.8,cif_files/CDOHH.cif,220,1.9,80
112,Pb(OH)2,PBOHH,P-3m,3.19,3.19,4.66,90,90,120,40.12,5.8,cif_files/PBOHH.cif,210,2,81
113,AlO(OH),AOH,C2/m,12.17,2.99,7.87,90,94.1,90,284.69,3.02,cif_files/AOHH.cif,200,2.2,82
114,GaO(OH),GAOH,C2/m,12.18,2.99,7.88,90,94.1,90,285.09,4,cif_files/GAOHH.cif,190,2.3,83
115,InO(OH),INOH,C2/m,12.19,2.99,7.89,90,94.1,90,285.49,5,cif_files/INOHH.cif,180,2.4,84
116,TlO(OH),TLOH,C2/m,12.2,2.99,7.9,90,94.1,90,285.89,7,cif_files/TLOHH.cif,170,2.5,85
117,BiO(OH),BIOH,C2/m,12.21,2.99,7.91,90,94.1,90,286.29,6.3,cif_files/BIOHH.cif,160,2.6,86
118,SbO(OH),SBOH,C2/m,12.22,2.99,7.92,90,94.1,90,286.69,5.8,cif_files/SBOHH.cif,150,2.7,87
119,LaO(OH),LAOH,P6_3,6.33,6.33,3.72,90,90,120,129,4,cif_files/LAOHH.cif,150,2.7,88
120,CeO(OH),CEOH,P6_3,6.34,6.34,3.73,90,90,120,129.4,4.1,cif_files/CEOHH.cif,140,2.8,89
121,PrO(OH),PROH,P6_3,6.35,6.35,3.74,90,90,120,129.8,4.2,cif_files/PROHH.cif,130,2.9,90
122,NdO(OH),NDOH,P6_3,6.36,6.36,3.75,90,90,120,130.2,4.3,cif_files/NDOHH.cif,120,3,91
123,SmO(OH),SMOH,P6_3,6.37,6.37,3.76,90,90,120,130.6,4.4,cif_files/SMOHH.cif,110,3.1,92
124,EuO(OH),EUOH,P6_3,6.38,6.38,3.77,90,90,120,131,4.5,cif_files/EUOHH.cif,100,3.2,93
125,GdO(OH),GDOH,P6_3,6.39,6.39,3.78,90,90,120,131.4,4.6,cif_files/GDOHH.cif,90,3.3,94
126,TbO(OH),TBOH,P6_3,6.4,6.4,3.79,90,90,120,131.8,4.7,cif_files/TBOHH.cif,80,3.4,95
127,DyO(OH),DYOH,P6_3,6.41,6.41,3.8,90,90,120,132.2,4.8,cif_files/DYOHH.cif,70,3.5,96
128,HoO(OH),HOH,P6_3,6.42,6.42,3.81,90,90,120,132.6,4.9,cif_files/HOOHH.cif,60,3.6,97
129,ErO(OH),EROH,P6_3,6.43,6.43,3.82,90,90,120,133,5,cif_files/EROHH.cif,50,3.7,98
130,TmO(OH),TMOH,P6_3,6.44,6.44,3.83,90,90,120,133.4,5.1,cif_files/TMOHH.cif,40,3.8,99
131,YbO(OH),YBOH,P6_3,6.45,6.45,3.84,90,90,120,133.8,5.2,cif_files/YBOHH.cif,30,3.9,99.5
132,LuO(OH),LUOH,P6_3,6.46,6.46,3.85,90,90,120,134.2,5.3,cif_files/LUOHH.cif,20,4,99.8
133,ScO(OH),SCOH,P6_3,6.47,6.47,3.86,90,90,120,134.6,3.8,cif_files/SCOHH.cif,10,4.1,99.9
134,YO(OH),YOOH,P6_3,6.48,6.48,3.87,90,90,120,135,4,cif_files/YOOHH.cif,5,4.2,99.95
135,ZrO(OH)2,ZROH,P4_2/nmc,3.6,3.6,9.6,90,90,90,124.42,4.1,cif_files/ZROHH.cif,2,4.3,99.98
136,HfO(OH)2,HFOH,P4_2/nmc,3.61,3.61,9.61,90,90,90,124.82,7,cif_files/HFOHH.cif,1,4.4,99.99
137,VO(OH)2,VOHH,C2/m,12,3.1,8,90,100,90,288,3.36,cif_files/VOOHH.cif,300,1.8,70
138,NbO(OH)2,NBOHH,C2/m,12.01,3.1,8.01,90,100,90,288.4,4.35,cif_files/NBOHHH.cif,280,1.9,71
139,TaO(OH)2,TAOHH,C2/m,12.02,3.1,8.02,90,100,90,288.8,8.2,cif_files/TAOHHH.cif,260,2,72
140,WO(OH)2,WOHH,C2/m,12.03,3.1,8.03,90,100,90,289.2,7.9,cif_files/WOHHH.cif,240,2.1,73
141,MoO(OH)2,MOOHH,C2/m,12.04,3.1,8.04,90,100,90,289.6,4.69,cif_files/MOOHHH.cif,220,2.2,74
142,ReO(OH)2,REOHH,C2/m,12.05,3.1,8.05,90,100,90,290,6.5,cif_files/REOHHH.cif,200,2.3,75
143,MnO(OH),MOHH,P-1,5.7,4.8,7.2,70,75,80,175,4.2,cif_files/MOOHH.cif,240,2.6,76
144,FeO(OH),IOHH,P-1,5.71,4.81,7.21,70,75,80,175.4,5.18,cif_files/IOOHH.cif,220,2.7,77
145,CoO(OH),COHH,P-1,5.72,4.82,7.22,70,75,80,175.8,6.44,cif_files/COOHH.cif,200,2.8,78
146,NiO(OH),NOHH,P-1,5.73,4.83,7.23,70,75,80,176.2,6.67,cif_files/NOOHH.cif,180,2.9,79
147,CuO(OH),CUOHH,P-1,5.74,4.84,7.24,70,75,80,176.6,6,cif_files/CUOOHH.cif,160,3,80
148,ZnO(OH),ZNOHH,P-1,5.75,4.85,7.25,70,75,80,177,5.61,cif_files/ZNOOHH.cif,150,3.1,81
149,CdO(OH),CDOHH,P-1,5.76,4.86,7.26,70,75,80,177.4,8.65,cif_files/CDOOHH.cif,140,3.2,82
150,PbO(OH),PBOHH,P-1,5.77,4.87,7.27,70,75,80,177.8,11.77,cif_files/PBOOHH.cif,130,3.3,83
151,AlPO4(AP),ALPO4,Amm2,9.78,7.98,5.04,90,90,90,393.9,2.57,cif_files/ALPO4.cif,80,2.2,89
152,GaPO4(GA),GAPO4,Amm2,9.79,7.99,5.05,90,90,90,394.3,4,cif_files/GAPO4.cif,70,2.3,90
153,InPO4(IN),INPO4,Amm2,9.8,8,5.06,90,90,90,394.7,4.28,cif_files/INPO4.cif,60,2.4,91
154,TlPO4(TL),TLPO4,Amm2,9.81,8.01,5.07,90,90,90,395.1,7,cif_files/TLPO4.cif,50,2.5,92
155,BiPO4(BI),BIPO4,Amm2,9.82,8.02,5.08,90,90,90,395.5,6.32,cif_files/BIPO4.cif,40,2.6,93
156,SbPO4(SB),SBPO4,Amm2,9.83,8.03,5.09,90,90,90,395.9,5.8,cif_files/SBPO4.cif,30,2.7,94
157,LaPO4(LA),LAPO4,P2_1/n,6.99,7,6.4,90,103,90,306.9,4.3,cif_files/LAPO4.cif,20,2.8,95
158,CePO4(CE),CEPO4,P2_1/n,7,7.01,6.41,90,103,90,307.3,5,cif_files/CEPO4.cif,10,2.9,96
159,PrPO4(PR),PRPO4,P2_1/n,7.01,7.02,6.42,90,103,90,307.7,5.1,cif_files/PRPO4.cif,5,3,97
160,NdPO4(ND),NDPO4,P2_1/n,7.02,7.03,6.43,90,103,90,308.1,5.2,cif_files/NDPO4.cif,2,3.1,98
161,SmPO4(SM),SMPO4,P2_1/n,7.03,7.04,6.44,90,103,90,308.5,5.3,cif_files/SMPO4.cif,1,3.2,99
162,EuPO4(EU),EUPO4,P2_1/n,7.04,7.05,6.45,90,103,90,308.9,5.4,cif_files/EUPO4.cif,0.5,3.3,99.5
163,GdPO4(GD),GDPO4,P2_1/n,7.05,7.06,6.46,90,103,90,309.3,5.5,cif_files/GDPO4.cif,0.2,3.4,99.8
164,TbPO4(TB),TBPO4,P2_1/n,7.06,7.07,6.47,90,103,90,309.7,5.6,cif_files/TBPO4.cif,0.1,3.5,99.9
165,DyPO4(DY),DYPO4,P2_1/n,7.07,7.08,6.48,90,103,90,310.1,5.7,cif_files/DYPO4.cif,0.05,3.6,99.95
166,HoPO4(HO),HOPO4,P2_1/n,7.08,7.09,6.49,90,103,90,310.5,5.8,cif_files/HOPO4.cif,0.02,3.7,99.98
167,ErPO4(ER),ERPO4,P2_1/n,7.09,7.1,6.5,90,103,90,310.9,5.9,cif_files/ERPO4.cif,0.01,3.8,99.99
168,TmPO4(TM),TMPO4,P2_1/n,7.1,7.11,6.51,90,103,90,311.3,6,cif_files/TMPO4.cif,0.005,3.9,99.995
169,YbPO4(YB),YBPO4,P2_1/n,7.11,7.12,6.52,90,103,90,311.7,6.1,cif_files/YBPO4.cif,0.002,4,99.998
170,LuPO4(LU),LUPO4,P2_1/n,7.12,7.13,6.53,90,103,90,312.1,6.2,cif_files/LUPO4.cif,0.001,4.1,99.999
171,ScPO4(SC),SCPO4,P2_1/n,7.13,7.14,6.54,90,103,90,312.5,3.8,cif_files/SCPO4.cif,0.0005,4.2,99.9995
172,YP04(Y),YPO4,P2_1/n,7.14,7.15,6.55,90,103,90,312.9,4,cif_files/YPO4.cif,0.0002,4.3,99.9998
173,ZrSiO4(ZS),ZRSIO4,I4_1/amd,6.63,6.63,5.99,90,90,90,262.8,4.7,cif_files/ZRSIO4.cif,0.0001,4.4,100
174,HfSiO4(HS),HFSIO4,I4_1/amd,6.64,6.64,6,90,90,90,263.2,9.68,cif_files/HFSIO4.cif,0.00005,4.5,100
175,TiSiO4(TS),TSIO4,I4_1/amd,6.65,6.65,6.01,90,90,90,263.6,3.95,cif_files/TSIO4.cif,0.00002,4.6,100
176,GeO2(GO),GEO2,P3_221,4.99,4.99,5.65,90,90,120,120.1,5.32,cif_files/GEO2.cif,0.00001,4.7,100
177,SnO2(SO),SOO2,P4_2/mnm,4.74,4.74,3.19,90,90,90,71.97,6.95,cif_files/SOO2.cif,50,2.5,95
178,PbO2(PO),POO2,P4_2/mnm,4.95,4.95,3.39,90,90,90,83.2,9.38,cif_files/POO2.cif,40,2.6,97
179,TeO2(TO),TOO2,P4_12_12,4.81,4.81,5.59,90,90,90,129.6,6,cif_files/TOO2.cif,30,2.7,98
180,SeO2(SE),SEO2,P2_1/c,11.8,4.68,5.58,90,105.5,90,296.8,3.95,cif_files/SEO2.cif,20,2.8,99
181,SO3(SO),SOO3,P6_3/mmc,5.44,5.44,6.89,90,90,120,182.6,1.92,cif_files/SOO3.cif,10,2.9,99.5
182,MoO3(MO),MOO3,Pbnm,3.95,13.64,3.65,90,103.7,90,194.21,4.69,cif_files/MOO3.cif,280,2.4,74
183,WO3(WO),WOO3,Pbnm,7.3,7.54,7.69,90,90,90,422.88,7.9,cif_files/WOO3.cif,300,2.3,73
184,V2O5(VO),VOO5,Pmmn,11.5,3.56,4.37,90,90,90,177.8,3.36,cif_files/VOO5.cif,400,2,70
185,Nb2O5(NO),NOO5,Pbcm,6.24,11.62,3.91,90,90,90,283.54,4.47,cif_files/NOO5.cif,350,2.1,71
186,Ta2O5(TA),TAO5,Pbcm,6.26,11.66,3.92,90,90,90,285.01,8.18,cif_files/TAO5.cif,320,2.2,72
187,Fe2O3(IO),IOO3,R-3c,5.04,5.04,13.72,90,90,120,289.13,5.28,cif_files/IOO3.cif,1000,1.2,70
188,Al2O3(AO),AOO3,R-3c,4.76,4.76,12.99,90,90,120,255.04,3.97,cif_files/AOO3.cif,0,0,100
189,Cr2O3(CO),COO3,R-3c,4.96,4.96,13.6,90,90,120,283.04,5.22,cif_files/COO3.cif,200,2,82
190,Mn2O3(MO),MOO3,Ia-3,9.45,9.45,9.45,90,90,90,843.74,4.82,cif_files/MOO3.cif,240,2.6,76
191,Co3O4(CO),COO4,Fd-3m,8.08,8.08,8.08,90,90,90,527.05,6.11,cif_files/COO4.cif,900,1.5,72
192,NiO(NO),NOO,Fm-3m,4.18,4.18,4.18,90,90,90,73.03,6.67,cif_files/NOO.cif,200,2.1,86
193,CuO(CO),CUO,C2/c,4.68,3.42,5.13,90,99.5,90,81.48,6.31,cif_files/CUO.cif,600,1.3,78
194,ZnO(ZO),ZNO,Fm-3m,4.58,4.58,4.58,90,90,90,95.83,5.61,cif_files/ZNO.cif,150,1.9,90
195,CdO(CO),CDO,Fm-3m,4.69,4.69,4.69,90,90,90,102.5,8.15,cif_files/CDO.cif,140,2,91
196,PbO(PO),PDO,Fm-3m,5.93,5.93,5.93,90,90,90,208.04,9.53,cif_files/PDO.cif,130,2.1,92
197,SnO(SO),SNO,Fm-3m,4.7,4.7,4.7,90,90,90,103.82,6.48,cif_files/SNO.cif,120,2.2,93
198,GeO(GO),GEO,Fm-3m,4.35,4.35,4.35,90,90,90,81.94,5.58,cif_files/GEO.cif,110,2.3,94
199,SiO(SO),SIO,Fm-3m,4,4,4,90,90,90,64,4.7,cif_files/SIO.cif,100,2.4,95
200,CO2(CO),COO,Fm-3m,5.6,5.6,5.6,90,90,90,175.62,1.56,cif_files/COO.cif,90,2.5,96
201,SiC(SC),SIC,F-43m,4.36,4.36,4.36,90,90,90,82.29,3.21,cif_files/SIC.cif,80,2.6,97
202,AlN(AN),ALN,P6_3mc,3.11,3.11,4.98,90,90,120,44.57,3.26,cif_files/ALN.cif,70,2.7,98
203,GaN(GN),GAN,P6_3mc,3.19,3.19,5.18,90,90,120,46.16,6.15,cif_files/GAN.cif,60,2.8,99
204,InN(IN),INN,P6_3mc,3.54,3.54,5.69,90,90,120,61.98,6.81,cif_files/INN.cif,50,2.9,99.5
205,BN(BN),BNN,P6_3mc,2.5,2.5,6.7,90,90,120,35.6,2.25,cif_files/BNN.cif,40,3,99.8
